,Report No.,Report Date,Sent to Manufacturer / Importer / Private Labeler,Publication Date,Category of Submitter,Product Description,Product Category,Product Sub Category,Product Type,Product Code,Manufacturer / Importer / Private Labeler Name,Brand,Model Name or Number,Serial Number,UPC,Date Manufactured,Manufacturer Date Code,Retailer,Retailer State,Purchase Date,Purchase Date Is Estimate,Incident Description,,City,State,ZIP,Location,(Primary) Victim Severity,(Primary) Victim's Gender,My Relation To The (Primary) Victim,(Primary) Victim's Age (years),Submitter Has Product,Product Was Damaged Before Incident,Damage Description,Damage Repaired,Product Was Modified Before Incident,Have You Contacted The Manufacturer,If Not Do You Plan To,Answer Explanation,Company Comments,Associated Report Numbers,recalled
35745,20111231-17B0A-2147471837,12/31/2011,1/11/2012,1/26/2012,Consumer,"Whirlpool  Whirlpool Corporation, Benton Harbor, Michigan 49022

 Cabrio Accu Dry Dryer
MOD  WED5500XW0
SER    M13570014",Home Maintenance and Structures,"Laundry, Fabric Care & Sewing","Clothes Dryers, Not Specified (127)",127,WHIRLPOOL CORPORATION,Whirlpool,WED5500XW0 /  Cabrio Accu Dry Dryer,M13570014,,,,"Lowes Home Centers, Inc.",,12/12/2011,,"Whirlpool  Whirlpool Corporation, Benton Harbor, Michigan 49022

1.  Cabrio Accu Dry Dryer
MOD  WED5500XW0
SER    M13570014

2.  Top Loading High Efficiency Low Water Washer 
MOD  WTW5640XW2
SER    C14630723

Purchased from Lowes Home Centers, Inc.
9490 W. Broad St.
Richmond, VA 23294

Purchase Date: 12/12/11
Delivered: 12/29/11, 2:30 p.m. to 11301 Markham Ct., Richmond, VA 23233

Summary: On 12/30/11 [redacted] was preparing to wash clothes in her new Whirlpool washing machine. She poured bleach into a glass measuring cup. She then placed the glass measuring cup on the dryer while putting the top on the bleach bottle and placing the bleach bottle in the overhead cabinet.  Because of the curved downward slope of the top of the dryer sloping from back to front, the measuring cup containing bleach slid to the front of the dryer and fell to the floor, splashing bleach onto the floor, the rug in the laundry room, clothes hanging several feet away in the laundry room, and onto [redacted]specifically onto her legs, arms, hands and body.  She sustained bleach burns and swelling to her hands, arms and legs.  Property damaged included her shirt and pants, the rug in the laundry room, and clothes hanging in the laundry room.

Defect/Hazard in dryer and washing machine design: Forward downward slope of the tops causes objects placed on the tops to slide down and fall to the floor.  No warnings on any materials or on the washer or dryer warned against putting objects on the top of the dryer or washing machine.  No rim or other design feature prevents objects such as containers of liquids, clothes baskets, detergent boxes or containers from sliding forward down the sloping top and falling to the floor.  The risk is exacerbated by any moisture present on the top of the dryer/washer or on the bottoms of containers placed on the top of the dryer/washer.

Comment:  It is pure luck that the splash from the bleach did not enter [redacted] eyes. It is only a matter of time, however, before serious bodily injury results from caustic substances or objects slipping down and falling from the sloping tops of the Whirlpool Cabrio washer and dryer.",,Richmond,Virginia,23233,Home/Apartment/Condominium,"Injury, First Aid Received by Non-Medical Professional",Female,My Spouse,63,Yes,No,,,No,No,Yes,Will send a copy of my summary of the incident,"(1/25/2012) WHIRLPOOL CORPORATION: The Consumer Product Safety Commission has forwarded your report of an incident in which you identified a product from our Whirlpool Corporation brands.  We value the well-being of our customers, and we strive to make all our products as safe as possible.  If you have not already contacted us about this issue, please e-mail the Product Safety Team of our Customer eXperience Center at Safety_customerexperience@whirlpool.com. To ensure that we have sufficient information to evaluate this incident, please include the last four digits of your CPSC Report No. in the subject line of your e-mail.   In the body of the e-mail, please include a day time phone number where we can contact you along with a brief description of the report you filed with the CPSC. If a Whirlpool-manufactured or Whirlpool-marketed product or component is involved, please preserve it for possible inspection and testing if necessary.",,0
31256,20120818-4BA4B-2147464625,8/18/2012,8/30/2012,9/14/2012,Consumer,"Tassimo By Braun single serve coffee maker. Silver with Black stripe. roughly 12""x12""x12""",Kitchen,Appliances,Electric Coffee Makers or Teapots (217),217,The Procter & Gamble Company,Tassimo,3107,9005BR10181593,,,538,Wedding Gift,,2/18/2007,Yes,The Tassimo by Braun single serve coffee maker was plugged in to the wall as it says it can in the manual. After 4 months of use it was on the counter and from my room I smelled an elecrical burning odor and started to look for it. I arrived in the kitchen to find the odor coming from the cord of the Tassimo near the plug. The Plug is a GFI since it is in the kitchen. I unplugged the cord witch was hot and left it unplugged. I have not used it since and do not plan to because of my concern it will start a fire in my home. The back water tank was  1 cup under the MAX fill line and there was not a disc in the machine. There were no injuries because I was home at the time and able to smell it the odor.,,Lisbon,Maryland,21765,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,Yes,No,,,No,Yes,,I have not gotten rid of it yet and I contacted them an No response,"(9/12/2012) The Procter & Gamble Company: Thank you for taking time to report this incident. Were very sorry to hear of your experience with your Braun Tassimo brewer and certainly understand your concern. 

Although we ended our partnership on the Tassimo brand in June 2008 and no longer distribute the brewer, you can still contact Tassimo directly for assistance with your Braun Tassimo. You can reach Tassimo Customer Service by calling 1-877-834-7271.",,0
5170,20180515-28B89-2147387976,5/15/2018,5/23/2018,6/7/2018,Consumer,Magic Mill shabbath hot plate MHP-925,Kitchen,Appliances,Hot Plates (224),224,Royalux Corp. ,MAGIC MILL,MHP-925,,,,,Spitzers ,Michigan,1/10/2017,Yes,"We plugged in the hot plate and it works on heavy duty timer which turns the hot plate off and on we only have it on for roughly 3 h at a time.
We use it for Saturday the sabbath . So sabbath morning it turned on and it was on for 30 min my kids where sitting in the kitchen and all of a sudden it exploded and my kids got shards and chunks on there cloths and hair and thanks got it was just minor cuts and my wife as she is a nurse practitioner  took care of the wounds",,Southfield,Michigan,48076,Home/Apartment/Condominium,"Injury, Seen by Medical Professional",Female,My Child,3,Yes,No,,,No,Yes,,I asked them about this incident and they have acknowledged that this shouldnt happen,,,0
37102,20111024-2AC2D-2147474018,10/24/2011,10/31/2011,11/15/2011,Consumer,Bounce ,Home Maintenance and Structures,"Household Chemicals, Paint, & Cleaning Products",Fabric Treatment Products (952),952,The Procter & Gamble Company,Tide,Bounce,,,,,,,,,"My neighbor was using Scented Fabric Softener sheets and since their dryer exhaust is next to my front door, which was open at the time, the fumes entered and permeated throughout my home.  I had difficulty breathing, my eyes turned very red and were burning.  Subsequently, I awoke in the middle of the night with severe Vertigo.  Upon arising in the morning, I had to hold on to the walls to walk as I was dizzy, nauseous and very sleepy (I always wake up full of energy and bounce out of bed so this was very unusual for me).  Unfortunately I was supposed to have surgery that day and the doctor had to cancel due to my reaction.  I made an emergency visit to my Internist, and took an allergy pill (Allegra) and within an hour and a half of taking the pill, I was fine.

I then Googled the ""dryer sheets and dizziness"" and was shocked to see the extreme toxicity of these products.  I had the symptoms they listed as well.

It is appalling that this product has been approved.  Whenever I walk in my neighborhood, I have to hold a tissue up to my nose because there are so many exhausts spewing out this poison into the air as I pass by.  I'm sure I'm not the only one reacting like this.  People who have a general feeling of malaise (not as bad as mine) may just have no clue as to why they are not feeling well.",,Moriches,New York,11955,Home/Apartment/Condominium,"Injury, Seen by Medical Professional",Female,Self,72,,,,,,,,,"(11/4/2011) The Procter & Gamble Company: Were very sorry to hear you experienced an allergic reaction while exposed to the scent from your neighbors dryer exhaust.  Were deeply committed to the health and safety of our consumers  nothing is more important than ensuring the safety of our products. We want our consumers to use our products with complete confidence.

Determining the cause of an allergy can be very difficult, so we encourage you to consult with your physician, especially if the condition does not go away in a few days or if it is severe.  However, we would like to reassure you that all of our fabric softener products are formulated with the greatest care and utmost attention to safety.  The formulations take into account our stringent internal safety standards for every ingredient.  For further assurance, allergic contact sensitization testing has also been conducted with many formulations, with and without perfume.

Again, were really sorry to hear of this experience.  Your satisfaction is very important to us, and we hope youll continue to use P&G products in the future.  Wed also like to better understand what happened and ask you to contact us directly.  If theres anything we can do to help further, please contact us by calling our Consumer Care Line at 1-866-607-5535.",,0
14247,20160104-2D40C-2147425124,1/4/2016,1/12/2016,1/29/2016,Consumer,Jenn-air CVGX2423 Expressions sealed gas downdraft cooktop with four burners.,Kitchen,Appliances,Gas Ranges or Ovens (279),279,WHIRLPOOL CORPORATION,Jenn-Air,CVGX2423B,17414796lj,,,,,,,,"Jenn-air CVGX2423
I finished cooking dinner, turned OFF the stove and walked away.  All of a sudden, the top turn-on knob, for a burner I rarely use, was smoking, then sparked and caught fire.  The flames came up through the knob opening on the cooktop.  I put out the fire with a dry chemical (Kidde) extinguisher.  The fire department confirmed the fire was out and turned off the gas and exhaust.  

This sounds similar to the 2004 recall of a similar Jenn-air downdraft cooktop.",,bel air,Maryland,21014,Home/Apartment/Condominium,Unspecified,Unspecified,Unspecified,,,No,,,No,,,,,,0
18619,20141223-E30E7-2147437612,12/23/2014,1/7/2015,1/29/2015,Consumer,Portable electric baseboard heater,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Electric Baseboard Heaters (312),312,KAZ INC.,Honeywell,"TYPE II, not the previously recalled TYPE I",,,,,,,,,"Honeywell portable electric baseboard heater began burning a hole in its plastic end cap. The burn mark occurred on the end opposite the controls and resulted in a blackened, melted area about the size of a quarter and a hole burned all the way through about the size of a dime. Product had been turned on the 'low' setting for about 3 hours when issue was noticed.",,Cincinnati,Ohio,,Home/Apartment/Condominium,Unspecified,Unspecified,Unspecified,,Yes,No,,,No,No,,,,,0
39873,20110604-1FC2A-2147478551,6/4/2011,,6/27/2011,Consumer,stainless steel with black handles and edging electric waffle iron,Kitchen,Appliances,Electric Waffle Irons (235),235,BRX LTD,Vitantonio,#1550,44064822,,,,,,,,"my vitantonio model 1550 electric waffle maker exploded 3 separate times, the third time entirely severing the cord from the appliance - left burn marks on the counter - would like recall information and gift certificate",,copley,Ohio,44321,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,47,Yes,No,,,No,Yes,,have product if i have to ship it for refund; emailed possible mfg.  ,,,0
2172,20190327-A25C7-2147381955,3/27/2019,4/4/2019,4/18/2019,Consumer,"Baseball bat for high school, model Easton Project 3 ADV Bat. Two piece composite handle bat.",Sports and Recreation,Field & Court Sports,"Baseball (Activity, Apparel or Equipment; Excl Softball) (5041)",5041,"Easton Sports, Inc.",Easton,Easton Project 3 ADV Bat,,,2/1/2019,,Online,California,3/7/2019,,"My son was using a brand new bat made by Easton in a baseball game (Easton Project 3 ADV model). It was the first time using this bat in a game and had only been used in two practices before this game. The bat is a two-piece bat, meaning it has a handle made of carbon fiber and a barrel made of metal. The connection between the barrel and the handle is covered by a red piece of plastic. 

My son swung the bat at a pitch that hit exactly on the red connecting piece of plastic. This plastic is an odd shape and has an angle that is not seen on other bats. The ball ricocheted off the plastic and into my sons eye, which was permanently damaged. 

The umpire, coach, players and my self with 30 years of experience have never seen a simple foul ball fly into the batter's face before. The fact this ball hit directly on the red attachment suggests strongly that the odd angle of this attachment is a contributor into this awful injury. 

Because of basic physics this bat design is suspect and I am dubious after this accident that this product has been tested for safety or if it was it was likely ignored by the bat company. 

I have the ball mark from the brand new game ball (my son was the second batter) directly on the red plastic connector I mentioned above and I have a video of the incident.",,Riverton,Unspecified,84020,Place of Recreation or Sports,"Injury, Hospital Admission",Male,My Child,16,,,,,,,,,,,0
1052,20190804-A4657-2147379468,8/4/2019,8/13/2019,8/27/2019,Consumer,"GRASSE INTERNATIONAL PURE WINTERGREEN OIL (METHYL SALICYLATE) DOES NOT HAVE A CHILD SAFETY CAP AS REQUIRED BY THE POISON PACKAGING PREVENTION ACT.

Their email address is:    info@grasseindia.in",Containers & Packaging,Glass,"Glass Bottles or Jars, Not Specified (1140)",1140,Grasse International,Grasse International,,,,,,Ebay.com,,,,"GRASSE INTERNATIONAL PURE WINTERGREEN OIL (METHYL SALICYLATE) DOES NOT HAVE A CHILD SAFETY CAP AS REQUIRED BY THE POISON PACKAGING PREVENTION ACT.
I am concerned because even a small amount of methyl salicylate can be deadly if ingested.

It is sold on [REDACTED]:

[REDACTED]


",,Clifton,Idaho,83228,Home/Apartment/Condominium,"No Incident, No Injury",Unspecified,Unspecified,,No,No,,,No,No,No,,,,0
18086,20150205-9DA9E-2147435689,2/5/2015,2/13/2015,3/3/2015,Consumer,"Electrolux ICON Electric Smooth Top Cook Top 36""",Kitchen,Appliances,Electric Ranges or Ovens (Excl Counter-top Ovens) (278),278,ELECTROLUX/WHITE CONSOLIDATED,Electrolux,E36EC65ESS2,NF70326129,,1/1/2007,,,,,,"Electrolux Icon Smooth Top Electric Cooking Range.  Tonight 2/5/15 we were cooking on the front left element.  We turned the element off - and the digitial display showed the ""HE"" symbol indicating it was warm, as normal.  We walked away from the stove top and returned within a few minutes and the digital display was rolling through/showing erradict numbers again and again while the knob was still in the off position.  Then the digital display stuck on ""9"" and the element began to heat up to full heat or even hotter.  Despite our attempts to turn off the element with the knob, the element remained red hot and the digital display just showed random numbers as we turned it.  We could not get the element to turn off.  After a period of time we eventually had to turn the breaker off for the stove on our main panel.  Once we had the stove off, we turned the breaker back on and the digital display now reads ""ER.""  

Obviously our concern is that this stove could turn itself back on to full heat while we are away from our home.  This is a clear fire hazard.",,Riverside,California,92506,Home/Apartment/Condominium,"Incident, No Injury",Female,My Spouse,37,Yes,No,,,No,No,Yes,We still have the stove top in place.  We intend on contacting the manufacturer.,,,0
5260,20180220-27903-2147392780,2/20/2018,5/15/2018,5/30/2018,Consumer,"Cuisinart food processor. Model DLC-5BC. 7 cup capacity. Color silver. Plastic motor base and plastic motor shaft. Operating switch with three positions: ""OFF"", ""ON"", and ""Pulse"". 120 V., 60 Hz.",Kitchen,Appliances,Food Processors (275),275,CONAIR CORPORATION,Cuisinart,DLC-5,91126 E S,'8627900905,,,Macy's,,1/1/2010,Yes,"I was using my Cuisinart food processor to grate raw zucchini. Immediately after I started using it (switched to the ""ON"" position, grating disc in place on the motor shaft, work bowl and lid in the closed and locked position for proper operation) I heard a cracking sound, then a short creak. When I removed the processor work bowl, I discovered that the plastic on the motor shaft had failed, fracturing all the way through: back to front and top to bottom of the shaft. I was not injured, but a few jagged pieces of plastic from the shaft are missing. I'm not sure where they went, given how fast the motor shaft spins. This is a failure such that I can no longer safely operate this product. I use this processor frequently, but not for any ""tough"" jobs. I treat this product with kid gloves, so this hardware failure is an unpleasant surprise. It's Cuisinart model DLC-5BC. Color silver, 7 cup capacity, 120 V., 60 Hz., Max. 5 Amps. (This model was also included in the earlier 2016 product recall, involving failure of the chopping blades at the rivets.)",,Tulsa,Oklahoma,74137,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,34,Yes,No,,,No,No,Yes,I plan to keep the product until the issue is resolved either through repair or replacement. I will be contacting Cuisinart as this is the second failure of this product (it was included in the 2016 blade recall.),,,7929
37928,20110914-1259C-2147475342,9/14/2011,9/21/2011,10/5/2011,Consumer,"Toaster oven made or sold by Proctor Silex
This unit is white with a glass door on the front.

The model number listed was 31116Y
The label also said type 044",Kitchen,Appliances,Toasters (234),234,"Hamilton Beach Brands, Inc.",Proctor Silex,31116Y,,,,,ShopRite,,12/1/2010,Yes,"The timer on the toaster oven stopped functioning. This caused the heating element to remain on far past the desired cook time. The result was that the contents ignited. No property damage or injury occurred. The fire was extinguished and the toaster oven placed outside.

The toaster oven was made by Proctor Silex and is Model # 31116Y It was purchased at a ShopRite grocery store.",,Swan Lake,New York,12783,Home/Apartment/Condominium,"Incident, No Injury",Male,My Parent,55,Yes,No,,,No,Yes,,I have sent a complaint to the manufacturer. The complaint was sent only moments before this report so it is too soon to have a response.,"(10/18/2011) Hamilton Beach Brands, Inc.: We have taken this report and expression of dissatisfaction very seriously.  We are very sorry this consumer had a negative experience with one of our products, as we try hard to please consumers who have shown their trust by bringing our products into their homes.  We encourage our customers to contact us at 1.800.851.8900 in order to provide information about their experiences.

The consumer has chosen to remain anonymous, which precludes us from interviewing the consumer, examining the product or otherwise verifying the report.  We have no record of receiving a consumer report concerning this oven, as described in the Database report.  Based on the information provided in the report, we cannot determine whether the incident is attributable to a failure to follow instructions in the Use & Care guide that accompanied the toaster oven.  For example, in order to correctly set the timer, the user is instructed to rotate the timer knob past 5 and then back to the desired time; also, the user is instructed to place the oven rack and baking pan in certain positions inside the oven, depending on how the oven is being used.  A failure to follow the instructions could result in a food fire; however, the oven is designed to contain the fire, which appears to be consistent with this consumers report.",,0
18134,20150202-6EBAD-2147435801,2/2/2015,2/10/2015,2/26/2015,Consumer,"GE Microwave model #JVM1750SM1SS, serial no SS900883 B , manufactured September 2009",Kitchen,Appliances,Microwave Ovens (264),264,GE Appliances & Lighting,General Electric,JVM1750SM1SS,SS900883 B,,8/1/2009,,PC Richards,,3/10/2010,,My GE over the range microwave turns on by itself. This started happening over a year ago. We now have to keep it unplugged and only plug in when we want to use it. We are afraid it would start a fire. Called GE customer service and they say they never had any previous complaints about this issue. Since it is over two years old they will not replace the microwave. ,,Flushing,New York,11358,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,54,Yes,No,,,No,Yes,,The microwave is installed over my range. I have contacted the manufacturer when the oven began starting up by itself. They claim that this is not an issue they had heard of from other customers.,,,0
