,Report No.,Report Date,Sent to Manufacturer / Importer / Private Labeler,Publication Date,Category of Submitter,Product Description,Product Category,Product Sub Category,Product Type,Product Code,Manufacturer / Importer / Private Labeler Name,Brand,Model Name or Number,Serial Number,UPC,Date Manufactured,Manufacturer Date Code,Retailer,Retailer State,Purchase Date,Purchase Date Is Estimate,Incident Description,City,State,ZIP,Location,(Primary) Victim Severity,(Primary) Victim's Gender,My Relation To The (Primary) Victim,(Primary) Victim's Age (years),Submitter Has Product,Product Was Damaged Before Incident,Damage Description,Damage Repaired,Product Was Modified Before Incident,Have You Contacted The Manufacturer,If Not Do You Plan To,Answer Explanation,Company Comments,Associated Report Numbers,candidate_brand,specifiers,label
1732,20190518-5D65D-2147380898,5/18/2019,6/7/2019,6/21/2019,Consumer,Steamfast SF-275 Heavy-Duty Canister Steam Cleaner,Home Maintenance and Structures,Other,"Appliances, Other and Not Specified (482)",482,Vornado Air LLC,Steamfast SF-275,SF-275,,,,,Costco Wholesale,,2/5/2019,,"After steam cleaning shower for approximately an hour, using 1 and 1/8th tanks of water. Immediately after using the product I noticed:
1.	My hearing was muffled (lasted for 30-45 minutes)
2.	My eyes felt unusual/uncomfortable (I thought this was simply eye strain at first but this worsened into the feeling of pain and inflammation on the inside of eyelids and eyeballs and lasted until May 17th. After May 17th the pain decreased but has not fully resolved.)
3.	Headache developed through the day of use and has not resolved by May 18, 2019. Headache reaches migraine-like level.
4.	My throat needed frequent clearing for 30-45 minutes with a little residual overnight
5.	My nasal tissue was noticeably inflamed/stuffed-up.(Lasted for the rest of the day)
Later in the day, I noticed: 
6.	The first evening on 5/12/19, I noticed ringing/static in my ears and this has not resolved or improved by May 18, 2019. 
Overnight I noticed:
7.	My throat felt a little burned.
8.	I had extreme dry mouth (had not consumed alcohol or made any change to medication/supplements)

My concerns:

1.	Possibly damaged my hearing by using an appliance that was too loud to use without ear protection. (user guide provided no warnings about ear protection or danger associated with noise level).
2.	Possibly exposed to toxic chemicals by the water boiling in the tank and steam traveling through the hose.
3.	Possibly damaged my eyes",San Diego ,California,92117,Home/Apartment/Condominium,"Injury, No First Aid or Medical Attention Received",Female,Self,43,Yes,No,,,No,No,Yes,I still have the product. I plan to contact the manufacturer. I have not yet because I have been busy finishing semester of graduate school.,(6/12/2019) Vornado Air LLC: Thank you for the report. Vornado takes reports of potential product safety matters seriously. We encourage our customers to contact us at 800-234-0604 with concerns about Vornado products. We appreciate receiving information from customers and try to achieve customer satisfaction.,,"['Steamfast SF-275', 'Vornado Air LLC']","['19', '17th.', '12', '30-45', 'SF-275', 'Heavy-Duty', '2019.', '17th', '18']",0
2238,20190316-1D44C-2147382171,3/16/2019,3/29/2019,4/12/2019,Consumer,"Vornado AVH10 Vortex Heater, a portable space heater",Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,Vornado Air LLC,Vornado,AVH10,Will provide later - box is in storage,'Will provide later,,Unknown,Amazon.com,,1/31/2019,,"On January 31, 2019, I purchased a Vornado AVH10 Vortex heater. After using the heater for about a month, on March 4, 2019, the heater stopped working. When I inspected the heater, I discovered that on the back panel, the vent had partially melted towards the top of the unit. This was alarming to me considering that I only used the heater for about two or three hours at a time at a temperature of no more than 72 degrees. (For reference, the lowest temperature of the heater is 65 degrees.) If I had been using this heater for longer periods of time or at higher temperatures, it's possible that the casing of the heater could have melted further and dripped into the heater itself, possibly causing a fire - or at least a fire hazard. I did some research online to see if anyone else has had a similar experience with their heaters of the same model. There are many complaints regarding the same issue posted by many reviewers on the product page for the unit on Amazon, where I purchased the heater. Some reviews include pictures showing damage from melting that is very similar to what I saw on my heater. A brand new heater should not be melting after one month of use for reasonable periods of time at relatively low temperatures. It appears that the problems that caused another Vornado heater to be recalled last year are still present in other units currently being sold. I would like for this issue to be investigated to ensure that this heater does not pose safety hazards to consumers. (Also, I have pictures, but this website will not allow me to attach them because I receive an error message each time.)",Carlsbad,California,92011,Other Public Property/Office,"Incident, No Injury",Unspecified,Self,,Yes,No,,,No,Yes,,"I contacted Vornado on or about March 6, 2019 to report the issue via email but have not received a response.",(3/29/2019) Vornado Air LLC: Thank you for the report. Vornado takes reports of potential product safety matters seriously. We encourage our customers to contact us at 800-234-0604 with concerns about Vornado products. We appreciate receiving information from customers and try to achieve customer satisfaction.,,"['Vornado Air LLC', 'Vornado']","['65', '72', '2019', '31', 'AVH10']",0
2777,20190126-E7DAD-2147383091,1/27/2019,2/12/2019,2/28/2019,Public Safety Entity,Small portable electric space heater reportedly in silver in color known as a Vornado Vortex Personal Heater,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,Vornado Air LLC,Vornado ,Vortex,,,,,,,,,Structural fire reported at 0204 hrs on 01/26/2019.  Vornado Vortex portable electric space heater went on fire. Model number  and Serial number unavailable as unit was totally destroyed by fire. Fire damage confined to unit which resident extinguished after having been woken by smoke detectors sounding. Moderate to minor smoke damage in residence. Three residents injured went to the hospital for smoke inhalation and minor burns. One resident was admitted. This unit was reportedly purchased through Amazon and had only been in the possession of the owner for a few weeks.  How long it had been operating is unknown before combusting.,Hauppauge,New York,11788,Home/Apartment/Condominium,"Injury, Hospital Admission",Male,Unspecified,62,No,No,,,No,No,No,,"(2/26/2019) Vornado Air LLC: Thank you for the report. Vornado strives to achieve customer satisfaction and takes reports of potential product safety matters seriously.  Please contact Vornado to discuss further, as needed.",,"['Vornado ', 'Vornado Air LLC']","['2019.', '01', '26', '0204']",0
3084,20181210-542B3-2147383846,12/10/2018,12/17/2018,2/4/2019,Consumer,"Small Space heater. (10"")",Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,Vornado Air LLC,Vornado,Model pvh ,12489,,12/11/2011,8/11,bed bath and beyond,California,12/11/2011,Yes,On/Off switch does not turn unit off. Light goes off but heater keeps going.,Los Angeles,California,90068,Home/Apartment/Condominium,"Incident, No Injury",Unknown,Unspecified,,Yes,No,,,No,Yes,,They said that this product has not been re-called. The other model was.,(12/17/2018) Vornado Air LLC: Thank you for the report. Vornado takes reports of potential product safety matters seriously. We encourage our customers to contact us at 800-234-0604 with concerns about Vornado products. We appreciate receiving information from customers and try to achieve customer satisfaction.,,"['Vornado Air LLC', 'Vornado']",['10'],0
3323,20181102-A17FD-2147384672,11/2/2018,11/9/2018,11/27/2018,Consumer,Space heater,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,Vornado Air LLC,VORNADO ,VORNADO  TYPE AVH2 DIGITAL 120V,OCT17 - 22173,,,,Costco,,11/1/2017,Yes,"Vornado space heater type AVH2 DIGITAL 120V 
SERIAL NO. OCT17 - 22173
Unit plugged in but not turned on melted the plug and burned the outlet",Aledo,Texas,76008,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,Yes,No,,,No,No,,,(11/28/2018) Vornado Air LLC: Thank you for the report. Vornado takes reports of potential product safety matters seriously. We encourage our customers to contact us at 800-234-0604 with concerns about Vornado products. We appreciate receiving information from customers and try to achieve customer satisfaction.,,"['Vornado Air LLC', 'VORNADO ']","['OCT17', 'SERIAL', 'DIGITAL', 'AVH2', '120V', 'NO.', '22173']",0
3904,20180824-AC6C9-2147385980,8/24/2018,9/4/2018,9/18/2018,Consumer,"Vornado VH101 Personal Space Heater, Black",Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,Vornado Air LLC,Vornado,VH101,,,,,Bed Bath & Beyond,,12/20/2016,,"I purchased the Vornado VH101 Personal Space Heater, Black for my office. One day, while using it, it began to smell like something was burning and I looked down and it was smoking and making a loud rattling noise.",Longboat Key,Florida,34228,Other Public Property/Office,"Incident, No Injury",Female,Self,57,No,No,,,No,No,No,,(9/5/2018) Vornado Air LLC: Thank you for this information. The product has been recalled. Please visit www.vornado.com/recalls (choose VH101Personal Heater Button) to participate in the recall.,,"['Vornado Air LLC', 'Vornado']",['VH101'],8298
3906,20180824-52438-2147385967,8/24/2018,9/4/2018,9/18/2018,Consumer,VH101 Personal Vortex electric space heaters,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,Vornado Air LLC,Vornado,,,,,,,,,,"I got an email today from amazon about my order number Attention: Important Product Safety Notification Regarding Your Amazon.com Order ([REDACTED]).  I do not have the serial number or the date on the bottom of the unit because this unit was thrown out because one day the heater was found melted on the bottom . We just were thankful it had shut off and figured it was a bad heater .Now we get this recall letter that this heater was bad and could have caused something much worse. 
Is there a way to get a replacement without the numbers needed from the bottom. THe order was placed on ORDER PLACED
December 10, 2013
TOTAL
$31.79
SHIP TO
[REDACTED]

Any info would be helpful and if not I will be pursuing this again in other avenues.
Thank You for Your attention.",Fleetwood,Pennsylvania,19522,Home/Apartment/Condominium,"Incident, No Injury",Unknown,Unspecified,,No,No,,,No,No,Yes,,(9/5/2018) Vornado Air LLC: Thank you for this information. The product has been recalled. Please visit www.vornado.com/recalls (choose VH101Personal Heater Button) to participate in the recall.,,"['Vornado Air LLC', 'Vornado']","['31.79', 'TO', 'REDACTED', 'SHIP', 'TOTAL', 'THe', 'PLACED', 'VH101', '2013', 'ORDER', '10']",8298
4372,20180406-EF0EE-2147388746,4/6/2018,7/31/2018,8/14/2018,Consumer,"Personal Vortex electric space heaters
Type: VH101
Color: black
120 Volts AC, 60 Hertz, 750 Watt
Cold, Low Heat and High Heat settings",Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,Vornado Air LLC,Vornado,EH1-0050-06,AUG09-110249,,,AUG09,Amazon.com,,11/27/2012,,"A Vornado VH101 Personal Vortex electric space heater was purchased for me on Amazon.com 5 years and 5 months ago on November 27, 2012. I use it almost 24 hours a day, 365 days a year, however, because of a situation that caused me concern, I try very hard never to leave the unit running unattended without first turning off the heat.

1. When the unit tips forward onto its face, a safety switch located on the bottom always cuts the power as expected. This safety feature has never failed me.

2. When an object is placed too close, restricting the air flow, a thermal switch located inside cuts the power, and the power is not restored until the unit has sufficiently cooled. As far as I can tell, this safety feature appears to work consistently as well.

3. However, one day, after having owned this heater for approximately three to four years, the smell of burning plastic caught my attention, and I suddenly realized that the fan had stopped turning. I quickly turned off the unit which had become very hot to the touch. I later took the unit apart, lubricated the motor shaft and continued to use the unit. Within a year, the same situation occurred again. Since then, I have learned to continuously pay close attention to the sound of the fan, and whenever I hear it slowing down, I lubricate the motor shaft. I have not had any problems with the unit since. (Note: During both occurrences, there were no nearby objects obstructing air flow.)",Spokane,Washington,99223,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,Yes,No,,,No,No,No,I just received Amazon's recall notice a couple hours ago: https://www.cpsc.gov/Recalls/2018/Vornado-Air-Recalls-Electric-Space-Heaters-Due-to-Fire-and-Burn-Hazards,(8/1/2018) Vornado Air LLC: Thank you for this detailed information. This product has been recalled. Please visit www.vornado.com/recalls (choose VH101 Personal Heater Button) to participate in the recall. Please do not try to alter or repair a Vornado product. We urge consumers to directly contact Vornado when any safety concern arises with a Vornado product,,"['Vornado Air LLC', 'Vornado']","['27', '365', '24', '750', 'VH101', 'AC', '2012.', '60', '120']",8298
4467,20180413-95B6C-2147388630,4/13/2018,7/20/2018,8/3/2018,Consumer,"For the VH101 Vornado Heater

For the price, the product was cheaply designed (not the fault of the engineers, but project management)

The contacts (less than a few mm wide) that clamp around the heating element, were made of too thin gauge material to provide enough clamping force to resist expansion of heat cycling. Problems didn't arrise until it was needed.",Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,Vornado Air LLC,Vornado VH101,VH101,,,,,Amazon,,1/15/2015,,"For order # ([REDACTED])
Amazon store

As an engineer, I had to say that the quality of the parts was underwhelming. 
   Months later, during the winter, the pressure contacts were heating up at the wires, glowing red hot, although seemed to be stable glowing like this but quite disconcerting having it in the house with the wife. ""Is it supposed to do that?"" was my first clue.

I believe in fixing what you have. 
  I brought in a few repair people to try to fix the problem. It didn't work. -The connections always wound up getting loose, causing increased resistance and glowing wires. Only it got worse, heating up more and more of the wire, shifting the heat output to just the topmost left of the unit. 

Not wanting to ""burn"" anymore time or money, I chucked it up to a loss and experience and sent the unit to my local plant to be recycled... that a few months later, the company calls me telling me about this fault. Alas.

I've called both apartments. They said you have to have the bottom of the unit for your CPSR to be allowed to take action. 

I am pleased to know my options are open and that this is a known issue
It's not critcial that action be taken for me personally, only that the engineers know and bulletproof the design more carefully in the future.

Blessings and good evening.
  -[REDACTED]
",Lizella,Georgia,31052,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,No,No,,,No,Yes,,I was told the consumer must have the unit to receive any action,(7/24/2018) Vornado Air LLC: Thank you for this detailed information. This product has been recalled. Please visit www.vornado.com/recalls (choose VH101 Personal Heater Button) to participate in the recall.  Please do not try to alter or repair a Vornado product.  We urge consumers to directly contact Vornado when any safety concern arises with a Vornado product.,,"['Vornado VH101', 'Vornado Air LLC']","['VH101', 'CPSR', 'REDACTED']",8298
4583,20180305-DEC99-1740379,3/5/2018,7/12/2018,7/26/2018,Public Safety Entity,Portable Electric Heater,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,Vornado Air LLC,Vornado,AVH30,May17-104337,,,,,,,,Heater was purchased on 3/4/2018.  During first use it smoked and melted causing smoke damage to bedroom it was being used in.  Electrical two-prong plug appears clean.,Newtown ,Connecticut,6470,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,No,No,,,No,No,,,(7/13/2018) Vornado Air LLC: Thank you for the report. Vornado takes reports of potential product safety matters seriously. We encourage our customers to contact us at 800-234-0604 with concerns about Vornado products. We appreciate receiving information from customers and try to achieve customer satisfaction.,,"['Vornado Air LLC', 'Vornado']",['2018.'],0
